incident_characteristics,incident_id,date,state,city_or_county,address,n_killed,n_injured,latitude,location_description,longitude,n_guns_involved
"Shot - Dead (murder, accidental, suicide)",98022,2014-01-18,California,Carmichael,Marconi Avenue,1,0,38.6173,,-121.342,
"Shot - Dead (murder, accidental, suicide)||Suicide^",98018,2014-01-18,California,Los Angeles,1375 E 6th St #7,1,0,34.0383,,-118.235,
"Shot - Dead (murder, accidental, suicide)",98012,2014-01-18,California,Vallejo,Santa Clara and Capitol,1,0,38.1031,,-122.26,
"Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)",112717,2014-01-19,California,Lancaster,20th Street West and West Avenue K,1,0,34.6749,,-118.166,
"Shot - Dead (murder, accidental, suicide)",98010,2014-01-19,California,Oakley,500 block of Norcross Lane,1,0,37.9948,,-121.716,
"Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)",98204,2014-01-19,California,Oakland,100th Ave and Longfellow Ave,2,0,37.7454,,-122.158,1.0
"Shot - Dead (murder, accidental, suicide)",174330,2014-01-19,California,Inglewood,600 East Hardy Street,1,0,33.9491,,-118.347,
"Shot - Dead (murder, accidental, suicide)||House party",99213,2014-01-20,California,Long Beach,1115 E. New York Street,1,0,33.785,,-118.179,1.0
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",98438,2014-01-20,California,Koreatown,Third and Normandie ,2,0,34.069,,-118.3,
"Shot - Dead (murder, accidental, suicide)",174326,2014-01-21,California,Inglewood,La Brea Avenue and Hyde Park Boulevard,1,0,33.9713,,-118.357,
"Shot - Dead (murder, accidental, suicide)||Accidental Shooting||Accidental Shooting - Death||Officer Involved Incident||Officer Involved Shooting - Officer killed",99207,2014-01-21,California,Dublin,6450 Dougherty Road,1,0,37.7104,,-121.91,
"Shot - Dead (murder, accidental, suicide)",99215,2014-01-21,California,Turlock,Spruce and South Avenue ,1,0,37.4854,,-120.854,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Possession (gun(s) found during commission of other crimes)",98679,2014-01-21,California,Oakland,East 15th and 57th,1,0,37.767,,-122.2,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",99325,2014-01-21,California,Oakland,5200 block of Wentworth Avenue,1,1,37.7716,,-122.205,1.0
"Shot - Dead (murder, accidental, suicide)",174322,2014-01-22,California,Los Angeles,420 King Ave,1,0,34.079,,-118.372,
"Shot - Dead (murder, accidental, suicide)||Suicide^",99210,2014-01-22,California,Santa Fe Springs,Orr and Day ,1,0,33.9386,,-118.091,
"Shot - Dead (murder, accidental, suicide)",174324,2014-01-22,California,Inglewood,700 Warren Lane,1,0,33.9718,,-118.346,
"Shot - Dead (murder, accidental, suicide)",99594,2014-01-22,California,Vallejo,San Miguel Road,1,0,38.0906,,-122.233,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Child Involved Incident||Child killed self",99596,2014-01-22,California,Oakley,1300 block of Yosemite Circle,1,0,37.9832,,-121.685,
"Shot - Dead (murder, accidental, suicide)",99424,2014-01-22,California,Sacramento,Ethan Way ,1,0,38.6003,,-121.42,
"Shot - Dead (murder, accidental, suicide)",99929,2014-01-23,California,Sacramento,11th and O streets,1,0,38.5745,,-121.495,
"Shot - Dead (murder, accidental, suicide)",99831,2014-01-23,California,Oakland,800 block of Franklin Street,1,0,37.7998,,-122.272,1.0
"Shot - Dead (murder, accidental, suicide)",100140,2014-01-24,California,Santa Ana,South Standard Avenue ,1,0,33.7306,,-117.856,
